timestamp,open,high,low,close
1648857600,0.9995,1,0.999,0.9999
1648944000,1,1,0.9991,0.9993
1649030400,0.9993,1,0.9985,1
1649116800,1,1,0.9989,1
1649203200,1,1,0.999,0.9997
1649289600,0.9997,1,0.9986,0.9996
1649376000,0.9996,1,0.9991,1
1649462400,1,1,0.9973,0.9997
1649548800,0.9997,1,0.9991,1
1649635200,1,1,0.9991,0.9996
1649721600,0.9997,1,0.999,0.9997
1649808000,0.9998,1,0.9992,0.9999
1649894400,0.9998,1,0.9992,0.9997
1649980800,0.9997,1,0.9991,0.9998
1650067200,0.9998,1,0.9994,0.9998
1650153600,0.9997,1,0.9993,1
1650240000,1,1,0.9989,0.9993
1650326400,0.9993,1,0.9988,0.9999
1650412800,0.9999,1,0.9993,0.9999
1650499200,0.9999,1,0.9993,0.9998
1650585600,0.9998,1,0.9994,1
1650672000,1,1,0.9995,1
1650758400,1,1,0.9995,1
1650844800,0.9998,1,0.9995,0.9999
1650931200,0.9999,1,0.9994,1
1651017600,1,1,0.9994,1
1651104000,1,1,0.9995,1
1651190400,1,1,0.9995,1
1651276800,1,1,0.9995,1
1651363200,1,1,0.9993,1
1651449600,1,1,0.9995,1
1651536000,1,1,0.9995,1
1651622400,1,1,0.9995,1
1651708800,1,1,0.9996,1
1651795200,1,1,0.9994,0.9999
1651881600,0.9999,1,0.9995,1
1651968000,1,1,0.9996,0.9999
1652054400,0.9999,1,0.9995,1
1652140800,0.9999,1,0.9994,0.9996
1652227200,0.9996,1,0.9993,0.9998
1652313600,0.9998,1,0.9993,1
1652400000,1,1.01,0.9995,1
1652486400,1,1,0.9996,1
1652572800,1,1,0.9997,1
1652659200,1,1,0.9999,1
1652745600,1,1,0.9997,1
1652832000,1,1,0.9999,1
1652918400,1,1,0.9998,0.9998
1653004800,0.9998,1,0.9998,1
1653091200,1,1,0.9998,0.9999
1653177600,0.9999,1,0.9999,1
1653264000,1,1,0.9999,1
1653350400,1,1,0.9997,1
1653436800,1,1,0.9997,1
1653523200,1,1,0.9998,0.9998
1653609600,0.9998,1,0.9997,0.9999
1653696000,0.9999,1,0.9997,1
1653782400,1,1,0.9998,1
1653868800,1,1,0.9998,1
1653955200,1,1,0.9996,1
1654041600,1,1,0.9998,1
1654128000,1,1,0.9997,1
1654214400,1,1,0.9998,1
1654300800,1,1,0.9998,1
1654387200,1,1,0.9998,1
1654473600,1,1,0.9999,1
1654560000,1,1,0.9997,1
1654646400,1,1,0.9997,1
1654732800,1,1,0.9998,1
1654819200,1,1,0.9997,1
1654905600,1,1,0.9997,1
1654992000,1,1,0.9997,1
1655078400,1,1,0.9995,1
1655164800,0.9999,1,0.9995,1
1655251200,1,1,0.9996,1
1655337600,1,1,0.9998,1
1655424000,1,1,0.9998,1
1655510400,1,1,0.9999,1
1655596800,1,1,0.9996,1
1655683200,1,1,0.9999,1
1655769600,1,1,0.9998,1
1655856000,1,1,0.9998,0.9999
1655942400,0.9999,1,0.9996,1
1656028800,1,1,0.9998,1
1656115200,1,1,0.9998,0.9999
1656201600,0.9999,1,0.9997,1
1656288000,1,1,0.9998,0.9998
1656374400,1,1,0.9998,1
1656460800,1,1,0.9998,1
1656547200,1,1,0.9998,1
1656633600,1,1,0.9997,0.9999
1656720000,1,1,0.9998,1
1656806400,1,1,0.9997,0.9999
1656892800,0.9999,1,0.9998,1
1656979200,1,1,0.9998,1
1657065600,1,1,0.9998,1
1657152000,1,1,0.9997,0.9999
1657238400,0.9999,1,0.9985,1
1657324800,1,1,0.9996,0.9998
1657411200,0.9999,1,0.9998,1
1657497600,1,1,0.9997,1
1657584000,1,1,0.9997,1
1657670400,1,1,0.9997,0.9999
1657756800,0.9999,1,0.9995,1
1657843200,1,1,0.9997,0.9999
1657929600,1,1,0.9996,0.9999
1658016000,0.9999,1,0.9996,1
1658102400,1,1,0.9995,1
1658188800,1,1,0.9995,1
1658275200,0.9999,1,0.9994,0.9999
1658361600,0.9999,1,0.9995,0.9999
1658448000,0.9999,1,0.9995,1
1658534400,1,1,0.9992,1
1658620800,0.9999,1,0.9995,1
1658707200,1,1,0.9996,1
1658793600,1,1,0.9994,0.9997
1658880000,0.9998,1,0.9996,1
1658966400,1,1,0.9996,1
1659052800,1,1,0.9994,1
1659139200,1,1,0.9992,0.9997
1659225600,0.9997,1,0.9994,0.9999
1659312000,0.9997,1,0.9993,0.9998
1659398400,0.9998,1,0.9995,0.9998
1659484800,0.9999,1,0.9993,0.9999
1659571200,0.9999,1,0.9996,1
1659657600,1,1,0.9996,1
1659744000,1,1,0.9994,1
1659830400,1,1,0.9996,0.9997
1659916800,0.9998,1,0.9995,0.9999
1660003200,0.9999,1,0.9994,1
1660089600,1,1,0.9991,0.9998
1660176000,0.9998,1,0.9995,1
1660262400,1,1,0.9996,0.9999
1660348800,0.9999,1,0.9997,1
1660435200,1,1,0.9997,0.9999
1660521600,0.9999,1,0.9996,0.9998
1660608000,0.9999,1,0.9995,0.9999
1660694400,0.9999,1,0.9996,1
1660780800,1,1,0.9994,0.9999
1660867200,0.9999,1,0.9996,0.9999
1660953600,0.9999,1,0.9995,1
1661040000,0.9999,1,0.9997,1
1661126400,1,1,0.9998,1
1661212800,1,1,0.9998,1
1661299200,1,1,0.9997,0.9999
1661385600,0.9999,1,0.9996,0.9999
1661472000,0.9999,1,0.9997,0.9999
1661558400,0.9999,1,0.9995,0.9999
1661644800,0.9999,1,0.9997,1
1661731200,1,1,0.9997,1
1661817600,0.9999,1,0.9998,0.9999
1661904000,0.9999,1,0.9997,1
1661990400,0.9999,1,0.9997,1
1662076800,1,1,0.9997,0.9999
1662163200,0.9999,1,0.9997,1
1662249600,1,1,0.9996,1
1662336000,1,1,0.9998,1
1662422400,1,1,0.9996,0.9999
1662508800,0.9999,1,0.9995,0.9999
1662595200,0.9998,1,0.9997,0.9999
1662681600,0.9999,1,0.9997,0.9999
1662768000,0.9999,1,0.9996,0.9999
1662854400,0.9999,1,0.9997,0.9999
1662940800,0.9999,1,0.9996,0.9999
1663027200,0.9999,1,0.9995,1
1663113600,1,1,0.9994,1
1663200000,0.9999,1,0.9998,1
1663286400,1,1,0.9997,1
1663372800,1,1,0.9997,1
1663459200,1,1,0.9999,1
1663545600,1,1,0.9997,1
1663632000,0.9999,1,0.9997,0.9999
1663718400,0.9999,1,0.9996,0.9999
1663804800,0.9999,1,0.9993,1
1663891200,1,1,0.9996,0.9999
1663977600,0.9999,1,0.9997,0.9999
1664064000,1,1,0.9996,0.9999
1664150400,0.9999,1,0.9998,0.9999
1664236800,1,1,0.9997,1
1664323200,1,1,0.9997,1
1664409600,1,1,0.9998,1
1664496000,1,1,0.9997,1
1664582400,0.9999,1,0.9998,1
1664668800,1,1,0.9998,0.9999
1664755200,1,1,0.9994,0.9999
1664841600,1,1,0.9998,0.9999
1664928000,0.9999,1,0.9998,0.9999
1665014400,0.9999,1,0.9997,0.9999
1665100800,1,1,0.9997,0.9999
1665187200,0.9999,1,0.9997,1
1665273600,0.9999,1,0.9998,1
1665360000,1,1,0.9999,0.9999
1665446400,0.9999,1,0.9997,0.9999
1665532800,0.9999,1,0.9997,1
1665619200,1,1,0.9999,0.9999
1665705600,0.9999,1,0.9995,1
1665792000,1,1,0.9997,0.9999
1665878400,0.9999,1,0.9998,0.9999
1665964800,0.9999,1,0.9998,0.9999
1666051200,0.9999,1,0.9999,0.9999
1666137600,0.9999,1,0.9998,0.9999
1666224000,0.9999,1,0.9998,1
1666310400,1,1,0.9998,0.9999
1666396800,0.9999,1,0.9998,1
1666483200,1,1,0.9998,1
1666569600,1,1,0.9998,1
1666656000,1,1,0.9998,0.9999
1666742400,0.9999,1,0.9997,0.9999
1666828800,0.9999,1,0.9997,1
1666915200,1,1,0.9997,0.9999
1667001600,0.9999,1,0.9997,0.9999
1667088000,0.9999,1,0.9997,1
1667174400,1,1,0.9998,1
1667260800,1,1,0.9995,0.9999
1667347200,1,1,0.9997,1
