stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,first_hit_date,avg_close_price_hit_days,precision,recall,f1_score,specificity
DAI,PC9,15,5,2,2021-09-21,1.0005252102000002,0.13333333333333333,0.4,0.2,0.9928295642581357
DAI,PC10,16,5,2,2021-06-17,1.0007014992937502,0.125,0.2,0.15384615384615385,0.9922779922779923
DAI,PC2,20,5,2,2021-04-17,1.000378757775,0.1,0.0,0.0,0.9900826446280991
DAI,PC1,23,5,2,2021-11-10,0.9977495565739132,0.08695652173913043,0.0,0.0,0.9884297520661157
DAI,PC5,17,5,1,2021-04-05,0.9995186151588233,0.058823529411764705,0.2,0.0909090909090909,0.9911797133406836
DAI,PC3,20,5,1,2021-05-19,1.0001462350149999,0.05,0.2,0.08000000000000002,0.9895259095920618
DAI,PC7,21,5,1,2021-03-24,0.9999717084809525,0.047619047619047616,0.2,0.07692307692307693,0.9889746416758545
DAI,PC8,21,5,1,2021-06-18,1.000002888842857,0.047619047619047616,0.2,0.07692307692307693,0.9889746416758545
DAI,PC4,23,5,1,2021-05-20,1.0000220931130435,0.043478260869565216,0.2,0.07142857142857142,0.9878721058434399
DAI,PC6,18,5,0,2021-05-24,1.0001525083833331,0.0,0.0,,0.9900826446280991
PAX,PC2,81,23,14,2021-04-18,0.9990972766246915,0.1728395061728395,0.21739130434782608,0.1925722145804677,0.9625698324022346
PAX,PC1,80,23,13,2021-04-17,0.99781452267125,0.1625,0.21739130434782608,0.1859799713876967,0.9625489100055897
PAX,PC5,101,23,12,2021-03-25,0.9991614202970295,0.1188118811881188,0.34782608695652173,0.17712177121771217,0.9502515371716043
PAX,PC3,76,23,9,2021-05-12,1.0000126688407893,0.11842105263157894,0.30434782608695654,0.17050067658998647,0.9626116071428571
PAX,PC9,99,23,9,2021-04-06,0.9996793000343435,0.09090909090909091,0.30434782608695654,0.13999999999999999,0.9496925656791504
PAX,PC6,95,23,8,2021-04-18,0.9992009214936841,0.08421052631578947,0.30434782608695654,0.1319199057714959,0.951369480156512
PAX,PC4,88,23,6,2021-03-31,0.9997631552488637,0.06818181818181818,0.13043478260869565,0.08955223880597014,0.9542665923034022
PAX,PC8,86,23,5,2021-04-24,0.9999479591383722,0.05813953488372093,0.21739130434782608,0.09174311926605504,0.9548494983277592
PAX,PC10,93,23,4,2021-04-05,1.0003375384892472,0.043010752688172046,0.08695652173913043,0.05755395683453237,0.9504178272980501
PAX,PC7,92,23,3,2021-04-04,0.9996539887630435,0.03260869565217391,0.08695652173913043,0.04743083003952569,0.9504178272980501
USDC,PC1,13,3,3,2021-04-03,0.9985450312615385,0.23076923076923078,0.3333333333333333,0.27272727272727276,0.9944964226747386
USDC,PC2,26,3,2,2021-04-17,1.0004842749076923,0.07692307692307693,0.6666666666666666,0.13793103448275862,0.986784140969163
USDC,PC5,15,3,1,2021-11-21,0.9999012787533332,0.06666666666666667,0.6666666666666666,0.1212121212121212,0.9922907488986784
USDC,PC3,22,3,1,2021-04-18,0.9996994214363635,0.045454545454545456,0.0,0.0,0.988442487616951
USDC,PC4,15,3,0,2021-04-30,0.9999560537600001,0.0,0.0,,0.9917446340121079
USDC,PC6,8,3,0,2021-05-02,1.0000412935625,0.0,0.0,,0.9955971381397909
USDC,PC7,17,3,0,2022-03-17,0.9999825692294116,0.0,0.0,,0.9906439185470556
USDC,PC8,14,3,0,2021-11-16,0.9999782151357144,0.0,0.0,,0.992294991744634
USDC,PC9,13,3,0,2021-05-01,1.000034873553846,0.0,0.0,,0.9928453494771602
USDC,PC10,10,3,0,2021-04-04,1.00046895461,0.0,0.0,,0.9944964226747386
USDT,PC1,19,2,3,2021-04-17,1.0006179618105262,0.15789473684210525,0.5,0.23999999999999996,0.9911942762795817
USDT,PC2,15,2,2,2022-05-10,1.0002365522533332,0.13333333333333333,0.5,0.2105263157894737,0.9928453494771602
USDT,PC10,14,2,1,2021-04-04,1.0001426276928571,0.07142857142857142,0.5,0.125,0.9928453494771602
USDT,PC3,18,2,0,2021-04-18,1.0000018108055555,0.0,0.0,,0.9900990099009901
USDT,PC4,19,2,0,2021-04-18,1.0001936505736841,0.0,0.0,,0.9895489548954896
USDT,PC5,16,2,0,2021-04-21,1.0005135531812501,0.0,0.0,,0.9911991199119912
USDT,PC6,13,2,0,2021-04-08,1.0003333821384612,0.0,0.0,,0.9928492849284929
USDT,PC7,17,2,0,2021-09-03,1.0007572733999999,0.0,0.0,,0.9906490649064906
USDT,PC8,13,2,0,2021-04-20,1.0006281165769229,0.0,0.0,,0.9928492849284929
USDT,PC9,12,2,0,2021-04-19,1.0003011484583333,0.0,0.0,,0.9933993399339934
UST,PC1,16,25,11,2021-05-20,0.98192867226875,0.6875,0.24,0.3557951482479784,0.9874686716791979
UST,PC3,23,25,8,2021-05-04,0.9981223092434782,0.34782608695652173,0.28,0.3102493074792244,0.9623115577889447
UST,PC2,14,25,7,2021-04-24,0.9929653069428571,0.5,0.28,0.358974358974359,0.9825
UST,PC7,19,25,6,2021-04-10,1.000254777126316,0.3157894736842105,0.32,0.31788079470198677,0.9672544080604534
UST,PC4,13,25,5,2021-05-24,1.0002377561307692,0.38461538461538464,0.12,0.18292682926829268,0.9799498746867168
UST,PC10,17,25,3,2021-04-16,1.0013322285235293,0.17647058823529413,0.16,0.16783216783216784,0.9649122807017544
UST,PC6,18,25,3,2021-04-09,1.0023435119444446,0.16666666666666666,0.08,0.10810810810810811,0.9624060150375939
UST,PC5,17,25,2,2021-04-09,0.9999851593941176,0.11764705882352941,0.2,0.14814814814814817,0.9626865671641791
UST,PC9,16,25,1,2021-04-07,0.99926368895625,0.0625,0.12,0.0821917808219178,0.9626865671641791
UST,PC8,20,25,0,2021-05-03,1.001144195575,0.0,0.0,,0.9502487562189055
