coin,precision,recall,f1,specificity,avg_lead_days,fa_per_month,TP,FP,TN,FN
UST,0.6667,0.1714,0.2727,0.9862,2.5,0.36,6,3,214,29
USDC,0.0153,0.2778,0.0289,0.1677,3.87,24.21,15,968,195,39
DAI,0.0371,0.8542,0.0712,0.0907,3.29,26.59,41,1063,106,7
USDT,0.0349,0.9714,0.0673,0.2039,3.91,23.54,34,941,241,1
USDP,0.1464,0.9605,0.2541,0.2009,3.69,21.29,146,851,214,6
