,0,1,2,3,4,5,6,7,8,9
percent_change_24h,0.041532187664655495,0.3787115273945406,-0.05678293055580509,0.19515782864006007,-0.01370738010576875,-0.2136539534369628,-0.42760618692891766,-0.03900462055723958,0.032350451694946304,-0.4310511948683274
percent_change_7d,0.07286134094086559,0.4020092406540702,-0.058250724706111624,0.2212794480760768,0.13563448319767918,-0.05781723955482701,-0.19050670802706546,-0.11144737369117838,-0.23843625950517414,0.24476448299214917
percent_change_30d,0.0634526711361619,0.4351554846159993,-0.03425661469524031,0.017408589704496356,0.06415830694717045,0.1086311337970218,0.15939272721880032,-0.21230729600128798,-0.13843225104511647,-0.009566936692091091
volume_percent_change_24h,-0.006929850379414863,-0.15060044005890572,0.027305775938946997,0.24193989526379017,0.3826008101906514,0.5283436097763268,0.03394955665593038,-0.3365011332702273,-0.2739623062643255,-0.14134035437341655
volume_percent_change_7d,-0.03743327922045859,-0.19284545004981224,0.029828799643832116,0.4263707936160727,0.30801057182426,0.25312293965100696,0.02687153969120732,0.17495219681004973,0.16019311015105053,-0.3391053214719965
volume_percent_change_30d,-0.04525041636153813,-0.19933853682318334,0.0186708735352782,0.37691438161751617,0.27068484425940725,-0.1927584644652399,-0.334381039243968,-0.15938315563044927,0.363237837758319,0.563208198625946
market_cap_percent_change_24h,-0.1344275426009982,0.05299077041243507,0.4109377764909507,-0.2184917145050883,0.43553623512527134,-0.22967423738154205,0.04465549634577804,0.0931356498250002,-0.061376460678011016,-0.0440546347876453
market_cap_percent_change_7d,-0.2293194002853927,0.07819791668139037,0.39469525272655615,-0.05735062924613591,-0.258552867393923,0.2080931546349119,-0.13673341298150968,-0.3148062697755111,0.17475893010733423,0.002596836045642576
market_cap_percent_change_30d,-0.3003105404954292,-0.025115071009149597,0.17312839639273098,0.340943109939485,-0.2189170223931361,-0.08568648931271146,0.034941360002338794,0.24123104097693043,-0.2971303934878362,-0.010065274620686999
circulating_supply_percent_change_24h,-0.1335335566713369,0.06330596272343439,0.40992788460719976,-0.21335011053044486,0.4368656446828557,-0.23485967621487241,0.03319524452675343,0.09221350678055405,-0.060781181061573014,-0.05723144135280242
circulating_supply_percent_change_7d,-0.22822993385877816,0.08304296560164891,0.39461113056712926,-0.05701537930757561,-0.25753791072487153,0.20784576707931468,-0.14065552598955375,-0.3165978712231448,0.17044141369838825,0.004809071556080248
circulating_supply_percent_change_30d,-0.2999916482573732,-0.022491910607152322,0.1736161454599493,0.34099434884881974,-0.21880168472179526,-0.08396000090863287,0.03546456134416226,0.2404539142721934,-0.300000431752732,-0.011724057394240536
realized_daily_volatility,0.2938337816330348,-0.06866917723776945,0.21122742376136588,0.0483457657654972,-0.046992314408813664,0.03428895156265129,0.3026026894846685,-0.17515978069830093,-0.33583195696762363,0.2298774624885821
peg_error,0.11262334319601855,0.49037597508126624,0.01401260818435816,0.17405990197120624,0.08831964230083306,0.08808624427229843,0.04830243315268328,0.07455293361351249,0.11047237810605502,0.04795257998678469
abs_peg_error,0.2607022450591877,0.21234992775240621,0.22275546167083002,0.15461472897703452,-0.06881589233115669,-0.013153195583039073,0.1602332362357287,0.1923524407361227,0.13262001608520396,0.050306958671777036
price_deviation_5d,0.3133180478680907,0.027441106794102898,0.2797009449002434,0.1336790187284973,-0.11359815963740776,0.09600972280110102,0.18465856875928924,0.13596595601233566,0.15009510816198007,0.18783445226968476
price_deviation_30d,0.3154353893006024,-0.07296060660323085,0.22830022807942954,0.07301349614113656,-0.05882150552572163,0.17289404967975533,-0.11744461836785311,0.3512553701447813,0.1449367138324394,-0.007311650841285662
downward_price_deviation_5d,0.24079567792375997,-0.26251826296697917,0.1456447510610261,0.13992645258367528,-0.14183746411695516,-0.2842970427882482,-0.28680708594343723,-0.1832551240684628,-0.23307600899795783,-0.15808724232829144
downward_price_deviation_30d,0.3574911034673226,-0.10975454800702543,0.09551204810454961,-0.06120800272425607,-0.0018531572858328032,-0.12598077997787863,-0.21460952238990472,-0.1561643553936055,-0.3282074610528381,0.029202700113399902
fear_greed_index,0.28464769022964675,-0.08786219867742927,0.13106320756465326,0.11085009377397279,-0.04167486699606022,-0.23184697655140796,0.2026485179532677,-0.2566501938623811,0.2887671393361777,-0.42149315420033606
fed_funds_rate,-0.1822665751792206,0.0015162992576392082,-0.09693583140184545,0.287373887496005,-0.017042730759432013,-0.38905511199579146,0.5107483665909559,-0.31665357397280297,0.11575214833331017,0.005082720163410139
