,0,1,2,3,4,5,6,7,8,9
percent_change_24h,0.06693435276254943,0.3375888635477364,-0.14253003341913847,-0.27946730366305866,-0.038101380599598444,0.20549150873964558,0.365473570588587,0.09583774001389532,-0.044065467370413954,-0.09940001764929489
percent_change_7d,0.06165508123824518,0.37425640751815065,0.0009531594997673644,-0.13392880283163727,0.015086158584634047,0.2350610515602922,0.026505107559290968,0.03941148004233329,0.12953262329382687,0.015330912705251718
percent_change_30d,0.06445329213947296,0.3987086099245916,-0.05015582841533937,-0.11115150235791457,0.008288677540371594,0.005133128000843005,-0.20932916196914134,0.06363537509804017,0.14108769409579047,0.09174903930750639
volume_percent_change_24h,0.014316953506053987,-0.06698000422164382,0.3110043607567716,0.17635363626693232,0.00479568801862921,0.5193367318532427,-0.013076502082785449,0.2501241884272711,0.150890003013692,0.2487600105536388
volume_percent_change_7d,0.0333455722694591,-0.053125696326981,0.4101823725849832,0.1974285042962221,-0.07141328335809702,0.39639080914993585,0.06165349304290187,0.0666048624231986,-0.018283349834600886,-0.07380668288937259
volume_percent_change_30d,-0.11239107340001867,-0.06758557753620706,0.456134490452913,-0.14796847924255943,-0.05883175811783439,0.1089415182161473,0.31975560789399665,-0.04171539580014009,-0.12372516353820782,0.06508327313009803
market_cap_percent_change_24h,0.29174018465934065,-0.08767705290817793,0.03523667040324978,-0.034148230766248316,0.5994167974093767,0.035736621625371084,0.09910534970849194,-0.1691234747413779,0.05148057170976538,0.032217995252604895
market_cap_percent_change_7d,0.4298695196125168,-0.07215653877106858,0.004571491739696844,-0.027416497389921194,-0.04645714803798759,-0.010678688908477606,-0.16753453478907343,0.39296314995211296,-0.26990707037572914,-0.14903827569514716
market_cap_percent_change_30d,0.40536972973935465,-0.11957417848964252,0.0052154243675836395,-0.0025180738135262273,-0.3128424249332723,-0.08356719774876313,0.1567651230807304,-0.1765552132599707,0.23241717921775262,-0.011498053548459015
circulating_supply_percent_change_24h,0.2943378657841545,-0.07549991710524763,0.02976312376100034,-0.04466317995232805,0.5984286423161731,0.04314466803600129,0.1130087245616443,-0.16557826009467372,0.04976034782758206,0.028857530392747296
circulating_supply_percent_change_7d,0.43067562555842104,-0.06694354961397996,0.0045072386897926945,-0.029340291534797197,-0.04620655516086276,-0.007447182932531198,-0.16699506652151805,0.393504400391555,-0.2681006922694228,-0.14885384567427312
circulating_supply_percent_change_30d,0.4061055671950986,-0.11673678189892411,0.004813467639709831,-0.003378388701321948,-0.31297231029558725,-0.08358725612339023,0.15537117906505019,-0.17618418706315805,0.23362693451584948,-0.010797323491026616
realized_daily_volatility,0.02587450420182119,0.10008809047388995,0.3481010680718448,0.2977708364786302,0.04138800202097423,-0.09792359950682654,-0.48911026795801726,-0.1706102833806543,0.10613256684456612,-0.18630919266804327
peg_error,0.1372611918083972,0.47138050516675906,-0.013820542171088626,0.07624811867159063,-0.0024009335051972864,0.05644195689559899,0.004106420782588085,-0.013668624963851253,0.016688992667813096,0.04709291233228915
abs_peg_error,0.11833253075246085,0.45876286613978184,0.07129010002064394,0.02160937420874119,-0.02622695168535701,0.019239194875760705,0.015597770968208658,-0.12049816160469334,-0.08292977882524473,-0.058656352770505925
price_deviation_5d,0.1052431462888627,0.24752796906440352,0.2274257030972951,0.3165417866956507,-0.005011373754772964,-0.28436047732406283,-0.07505510825812457,-0.20978637812831114,-0.14349061048651437,0.16671966637358807
price_deviation_30d,0.0859613421621163,0.07335184531487828,0.06939465925889612,0.43546787677635446,-0.05985319301146823,-0.2900046263914891,0.5242224675217728,0.10696236645094516,-0.12186982604832987,0.20284972483186464
downward_price_deviation_5d,-0.04650542167509497,0.025809929536601776,0.3559820672142122,-0.33646093486702405,-0.051378856801140675,-0.0756158736705445,0.08257231804213641,-0.29496057058108643,-0.4067389684004004,-0.44900454457717576
downward_price_deviation_30d,-0.05745250946682101,0.04882591305614311,0.281643650944581,-0.3432117117507355,0.09536445818573767,-0.37652228834467943,-0.06410480114749717,0.3041292354320225,-0.157324694141781,0.5166566819315609
fear_greed_index,-0.026481284388711078,0.03140440912635296,0.3285052284855608,-0.23039304380593043,0.044228090895061606,-0.3186130451935959,0.0680843565239882,0.2822324276073458,0.6483012148097645,-0.26643621805848317
fed_funds_rate,0.21026129003545052,-0.10369370293303899,0.07049742612067446,-0.3549388710707954,-0.22897787285069265,0.13928657903667116,-0.2300738288760803,-0.3613300241300906,0.012901646288554917,0.46321932518578485
