,0,1,2,3,4,5,6,7,8,9
percent_change_24h,0.12407987813047235,0.26031301301361504,-0.023596457134516434,-0.1888075889112519,0.00047677439397490984,0.44167554261497405,0.45936492182888944,-0.04249213375363124,-0.12552623158572376,0.22823651412773377
percent_change_7d,0.16977625732010848,0.2934964334702909,0.03616430144481782,-0.19577280568919142,-0.1096353215336891,0.3205932918020885,0.04182163432654437,0.04017532741081691,0.4560598532846801,-0.31990394956123236
percent_change_30d,0.2582374786706842,0.2951159819451443,0.012014647461743015,-0.15767157559762185,-0.11214379413568305,-0.09711334114963412,-0.17973987378191472,-0.0513541642783418,-0.24578897974925912,0.15550542111691965
volume_percent_change_24h,-0.0612674659611075,-0.11321651203730332,0.3669094195565734,-0.006666098723751851,-0.25272131857437385,0.24979192200051256,-0.30369589737314756,-0.08111179175364826,-0.07314301789611045,-0.0684528440984969
volume_percent_change_7d,-0.1096679094395109,-0.046733738651984415,0.37277297698079576,0.16181648888560893,-0.1202801864915851,0.3303107646593945,-0.22858182005003644,0.03607186580784993,-0.4630559658625291,0.19863259033197944
volume_percent_change_30d,-0.17428008393152164,-0.08483511650731788,0.3023553711388855,0.24467515021661757,-0.03414024213513411,0.335540260908259,0.1597761799062445,0.23544507218774377,0.03329217484545544,-0.3170882897524496
market_cap_percent_change_24h,0.16855466400434463,-0.2039344167895048,0.3350712139400533,-0.20103284891526413,-0.19002341210854895,-0.28840585645655875,0.3387365663005592,-0.09834579882403303,-0.09356143936833164,-0.08356153603815474
market_cap_percent_change_7d,0.3569133111910928,-0.15009279923039243,0.10584744859735197,-0.10556979974997673,0.1617883419948511,-0.010815124298712508,-0.14244449021792724,0.5074071748674828,0.04491429308831635,0.04371961801144007
market_cap_percent_change_30d,0.33133905851617707,-0.16998052515429324,0.0318343521022828,0.23847229615961324,0.26721073007806084,0.12428153992239827,0.007723790995635446,-0.3397672962536204,-0.012327209777968454,-0.18487065314950918
circulating_supply_percent_change_24h,0.17924862632192778,-0.1839769193392436,0.33292760233211405,-0.2165134952963518,-0.1898211034603778,-0.2513271327428385,0.37747316533370595,-0.09606623357051662,-0.11286011547433078,-0.06661783901130434
circulating_supply_percent_change_7d,0.3598833935790317,-0.14055257824710238,0.1070879870525432,-0.11029929680663371,0.15675620426609466,0.00025981125466060563,-0.13921118735022128,0.5115675309498837,0.053484390209460574,0.038972658252039154
circulating_supply_percent_change_30d,0.33534534954441847,-0.16507327191999785,0.03199097039223066,0.23578472296873626,0.26489420337718594,0.123204804630161,0.005421566194073287,-0.3379711276902313,-0.016730067026398752,-0.18151359463118236
realized_daily_volatility,-0.07061277345005099,0.04408538004767297,0.4162528962689885,-0.10566474743485753,-0.09233210722542248,-0.08448303210046108,-0.274236835232909,-0.24919386969296106,0.5911067113974411,0.1534672274424781
peg_error,0.18002800230163624,0.4392311885263377,0.12829555338328852,0.00930122021176506,0.026369308895579792,0.03822551391260046,0.0257515356458329,-0.019127214814186746,-0.0802633462254885,-0.017732803789623917
abs_peg_error,0.15545492358149593,0.44051754826496337,0.15890641053710805,0.014516283786675143,0.07469907047563994,0.014534766492449698,0.020086807029504196,-0.03177962955038519,-0.05588047683627982,0.03291508748379627
price_deviation_5d,0.02866717254816702,0.2994989323566111,0.24084759214849968,0.21831971843580908,0.21173617185549565,-0.36781747378125035,-0.17096379973700435,-0.03720674206021773,-0.0733812955754067,0.03655733227383869
price_deviation_30d,-0.1564795029770448,0.1522634822183204,0.23482138508519004,0.23883772842287965,0.44612089623805673,-0.13849765211005918,0.1929185323066772,0.10586105096682005,0.007966923006097996,-0.14819553803146032
downward_price_deviation_5d,-0.23622205791377465,-0.09244426342641629,0.21075633020928192,-0.13054029437298512,0.39485957298312613,0.07123125525593278,0.19048623211871402,-0.01855891004239288,0.14199102717637208,0.5469086189356097
downward_price_deviation_30d,-0.2545486677006157,-0.05425307381692064,0.07344521730200387,-0.41437912648242886,0.3646815097939643,0.12920786516305405,0.014102181085229523,-0.011057329638061096,-0.058836358483215764,-0.2115062623904212
fear_greed_index,-0.21379344133894274,0.18874154458399572,0.07850197253206133,0.3066867029224876,-0.2387984760152513,-0.18540629501649983,0.2496220943121035,0.29072506690533456,0.05889212265975846,-0.14751244773946068
fed_funds_rate,0.22378489928490616,-0.11841693359153745,-0.032665480050424196,0.4393471853752076,-0.16387583405951356,0.11005623010670688,0.215447727130424,0.04296609517415932,0.27685495063499993,0.4252935410831394
