,0,1,2,3,4,5,6,7,8,9
Unnamed: 0,0.35447868869007876,-0.048710395462834365,-0.07433603784345968,0.030138874071563643,0.2414919639498043,-0.09653944658141322,-0.009493002125301988,0.16513819341994954,0.12680183476039694,-0.08403986238325116
percent_change_24h,0.011182807068057667,0.2601062846489122,0.31992946497974606,-0.3247373967547169,0.2919108601237917,-0.09361512047070146,0.07402072589433344,-0.04257157915111534,-0.07306556649834979,-0.25772290144675725
percent_change_7d,0.05117696202153016,0.2696341685719463,0.30189901361057014,0.02388776039815904,-0.19895999346950327,-0.05526643447812086,-0.12504753993865061,-0.143189631128162,0.39592743976489364,-0.029395273772500636
percent_change_30d,0.06218241164292724,0.25711812713022225,0.2976154517756086,0.2921244434493557,-0.08149843144748295,-0.22596340098364304,0.2989647598368048,0.054661236298021824,-0.029694585888350427,0.13722099461329998
volume_percent_change_24h,-0.07718416262979966,0.029984479859373022,0.1824543371944147,-0.01616080998875518,0.6106557174412204,0.2714945027046805,-0.08525964748576749,-0.17441236972766147,-0.3238243760364612,0.43317079314729356
volume_percent_change_7d,-0.07896817717410608,-0.0035233824582713404,0.14175087823408877,0.3940553132085195,0.32823750893485765,0.36347914632456846,-0.14952262148137951,-0.17759374098334021,0.5832726886411935,-0.07223265427829689
volume_percent_change_30d,-0.14994772320723682,0.06683232019190344,0.15515749377342736,0.5459140545853506,0.03692134480231636,-0.2058891107885307,0.22405212423689097,-0.002407189858578219,-0.21604460260412833,-0.32070381066118964
market_cap_percent_change_24h,0.18315724499227412,-0.34048241063327217,0.0529578975938723,0.20664643185567547,-0.24889454748731143,-0.058606625810570176,-0.20900134811237125,-0.13523516568198932,0.02326739536128828,0.33207772118592155
market_cap_percent_change_7d,0.26162756216674404,-0.27048097750655636,0.2477508246342044,0.016536537180002784,0.0019325256931610262,0.01565629599529203,-0.10354402200769673,-0.04022885691376355,-0.25186183987084293,-0.22375731705626803
market_cap_percent_change_30d,0.3514381614975777,-0.02761219473961664,-0.05804800683048289,0.005629413275393107,0.05890503567988553,0.15840180732299716,0.4272534806792768,0.10821113919683135,0.03743269153037587,0.17140842625832714
circulating_supply_percent_change_24h,0.24328502282061262,-0.18517058717482904,0.33058373418776843,-0.005638454387274736,-0.0798315719276707,-0.14109135172727685,-0.201082616051018,-0.205223610424626,-0.024567516527291822,0.20418207024997523
circulating_supply_percent_change_7d,0.2719822159732864,-0.22618795869785036,0.2970452024492076,0.01951759483969734,-0.02808106588243535,0.007046037798275248,-0.12276232860702545,-0.06302167271935583,-0.1935791419745078,-0.22861034074746073
circulating_supply_percent_change_30d,0.3519915387457252,-0.019472285930418,-0.04885976983002868,0.013587007242223155,0.05633502416650202,0.15157234143777235,0.4335470222307246,0.10931920944140554,0.03651383695193458,0.17473462402909792
realized_daily_volatility,-0.23883512279616462,-0.2667956794473401,0.01699452066013571,0.22655822534102496,0.1749473001645785,0.008211469326822261,0.15766376589739917,-0.05460653916069633,-0.19332688367461018,-0.1917929769899808
peg_error,0.07908682669876198,0.37806072120909373,0.26907694097990964,0.06869955937422767,-0.08398534991752592,-0.10341697280026255,0.043529291236706846,-0.0007054978131457093,-0.0364389657386594,0.24277352499395094
abs_peg_error,-0.1489593770798205,-0.3471395094670538,-0.09404891367747267,0.23559240278406457,0.0024144475484962047,-0.12457292888246142,0.20350887014543162,-0.02824698690130092,0.14037122482766504,0.15618342018765474
price_deviation_5d,-0.20205845597080782,-0.24327593846769321,0.22823036583435083,-0.17497464719826483,0.11485554374616505,-0.3750536679883578,0.2205532494991937,0.037204251289058354,0.21097897261754286,0.19718336017976046
price_deviation_30d,-0.25586101074488266,-0.08048966377023871,0.27655239256298825,-0.07698284798021927,-0.25733446631310236,0.3831031230065493,0.1940384745400822,0.22168464399802773,-0.031155816971921053,0.10165466270762108
downward_price_deviation_5d,-0.17831499214401958,-0.2710591898627966,0.15891652791014219,-0.33806142258529764,0.18008440248658125,-0.2949387078659042,0.11673220804722305,0.01939783363823756,0.24703152394795855,-0.027582092060005458
downward_price_deviation_30d,-0.18035902717449467,-0.14728853293711758,0.34719992336007277,-0.11964594443152006,-0.24966691442798106,0.4200648638240546,0.06448408335418467,0.19441134682642103,-0.011382887521673917,-0.07906089947326629
fear_greed_index,-0.30450231770495034,0.11849918028456158,-0.038496947681322884,0.08961239029683574,-0.07270376799056659,-0.1389615602319384,-0.18385600261357282,0.015726541689934443,-0.23840097753927492,0.3412726918763977
fed_funds_rate,0.040822555643343875,-0.024823042441496513,0.10045026938228656,0.1607365093774988,0.1880247639820439,-0.10684769749346104,-0.3508864600809384,0.8384970626471793,0.05031966744870928,0.06401497912993026
