PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.35673893414341123,-0.2960796401169601,-0.5552715899628299,-0.8819341355961714,0.061034715768257,0.12187662865146416,-0.016710176362435276,-0.4095185324061309,1.5947746770893432,-0.5356244548557936
0.42366098293613685,-1.0904658213466918,-0.05685859989726068,-0.5341737677003335,-0.14587971881053377,0.1573042973962909,-0.3772301416474851,-0.16878847591789373,1.2440186016988233,-0.6519650570894103
0.21357997571729662,-0.4242888344992823,2.774106142171405,0.773212171083046,-0.3677249328681613,1.2625567827018809,-1.6788007696040312,-0.5817341982443949,1.7003382934051143,-1.1801188159933682
-0.12946370813228011,-0.4646593514676048,0.3412800793278753,-1.0014879513945203,-0.6111208584917058,0.2926689403191954,0.2517813689221239,-0.5006001322574285,1.2488519848299653,-0.6095067951021529
-0.605726579970029,-0.6371501584600517,0.770322435570733,-0.7114816437056798,-0.7536402789174387,0.37609621540847255,-0.0656239424941363,-0.538903647595161,1.334766140643296,-0.4818762167589191
0.26539352361993773,-0.7917004222116342,0.2543999501956962,-0.8843509171698632,0.20465601120997823,0.5032586497874962,0.13843413347923342,-0.41901257941392944,1.2877322545745238,-0.510042685592592
-1.6006201972223306,-0.5750232065969851,0.07208840665957354,-0.5309231146280822,-2.188039247445281,0.18262682942207759,-0.4106156718396792,0.2033395676266434,1.1449612544797427,-0.6125780612517788
-1.5896840494582438,-0.47380663786549226,-0.04524880074525496,-0.8440060565317247,-0.87637724344944,0.019389716925307252,-0.07526554628689218,-0.4666026197279406,1.1793575205214823,-0.5266633107235383
-1.4386956195883456,-0.10491074236298291,3.0020146273014015,0.14583599047753576,-0.40735845126678527,2.887564862060174,-0.02157117822142538,-0.0003513589498654988,1.8387332018921565,0.10111689454513535
-2.1778860763590977,-0.6854026964804427,1.8655705778713054,-0.5727297173945658,-0.5417866383103244,0.8394189794102618,0.19419301828364458,-0.8050866176739112,1.0607921981861692,-0.2903346145859189
-2.2169258418009083,-1.070816079043274,3.771142941820846,-0.9050423117362322,-0.45001076569294923,1.399852074008004,1.090960776968295,-1.0244020440286716,0.3457922934823961,-0.37293563763996085
-1.82763863587631,-0.4374795306342678,2.021735528493295,-1.6881080645303312,0.0019211494253389449,0.07791460004010684,0.9915962258031895,-1.3437458955008557,0.2427451036981362,-0.709348368575133
-1.9970192537665814,-0.5581831093211451,2.8884056506001476,-1.3316690800396276,0.187033620154879,0.5403378330085017,0.7029279580344984,-1.2857018093554737,0.47929823139433025,-0.4223433540718774
-2.2630082510474763,-1.9141157206842987,6.348959945069774,-2.060087190099834,-0.3180402041610478,-0.7829160126993763,0.681762216996493,-1.6417005284060606,-2.674319749294672,-1.0618623584085807
-1.9494566946489829,0.3484123126857696,5.952167650258666,-2.8580226907950395,-0.6393108627304918,-0.032448943033026714,1.0012854976072072,-1.1152870829186925,-2.370076807198677,-1.6609751515941897
-2.6979433224831553,0.18430577168820814,4.023929876146517,-3.8231377385082026,-0.5391926298434141,-2.2077339141785743,0.8688780295656459,-1.4318864658318633,-2.4829064753999406,-0.9788882064473217
-1.9154843700465656,0.5116380132794973,4.441062124866411,-3.444139425854795,0.2401729980920677,-0.9244120159370216,0.6188913029895408,-0.915447560271723,-1.8968817721925706,-0.5675873992856594
-1.6967624148773635,-0.3899974371761694,8.52756589235321,-3.489329788044831,0.5778871049302179,0.8486241860362412,2.059661744330702,-1.0218869964967456,-2.368438820716359,-0.028350668320108515
-0.6259625297421363,1.0766437613531687,1.8162632073371416,-2.6310782362234573,0.8258804498091582,-0.9813999807161103,0.6006121034585923,0.20450846883896523,-0.40768783680858794,0.9941655761058683
-0.9600649836514489,-0.5743453243609319,2.0461971542065704,-1.774131004281957,0.7068995708045122,-1.1305808682073115,-0.1901533315165084,0.3479179846840178,-0.3374396543371504,1.3812656122474003
-0.9857317361430827,0.6166388591391836,1.5045536400482364,-2.3540506554688974,0.31785954256683846,-0.3973328434937119,0.2879215596844903,1.0529674500007893,0.07309811689782356,1.6313088530008624
-1.1504444874779114,0.1857984613697314,0.7108623503920637,-2.0440730326731176,0.1281637002207091,-1.3876858120420692,-0.43308748643646544,1.102983458636303,0.051586540329374264,1.3896938867993656
-1.2049157712441845,0.3401447280457281,0.7393689971672467,-1.5810918510273275,0.018955409627689854,-0.8189615048638342,-0.8437687492407174,1.4430073623063209,-0.009150108156127526,1.3774418596883247
-1.3519399371623688,0.8871465378843353,0.32289282522935414,-2.059961229977364,0.2087935188010714,-1.129398949773137,-0.44501323919249525,1.131126162532097,-0.2825260079709548,1.4784299650775048
-1.2073588161076099,1.0428314373318168,0.032006771308481965,-1.9047571448489984,0.7433639039777784,-1.2581482848933494,-0.4438829726457957,0.8801724448921929,0.231959225644305,1.9945123540120888
-1.4590273900922375,-0.5321310998272111,1.9648282170489455,-1.021674426501984,1.0156859503907403,-0.09441837259975593,-0.4123167791542925,1.0958039130556636,0.34742549289407404,2.308272155993727
-2.2957530713235896,0.1447226243028637,0.7301921772117279,-1.55067392313722,0.16211790318337777,-0.8865872262868233,-0.2940594256853473,0.8661047833836543,0.0637820510447459,1.882014610480837
-2.0558227518089014,0.9818364290198558,0.5955863403164814,-1.2820935878557862,0.8100326191732096,-0.5898352922681084,-0.11153903881067301,1.0397911151075236,0.12697910667058399,1.7107036413958436
-2.0901703174685307,0.4072915432483405,1.0291236199573293,-0.5585964076340054,0.6450571456286637,0.3555034250778113,-0.3207573503999452,0.8293777084490332,-0.6787817696507698,2.156259685433679
-1.8107788465395749,-0.05616627075237244,-0.35983898596969166,-1.5703243292952347,1.0642739187977246,-1.8928728997644897,-0.2484480018061639,0.7091009415743956,-0.16055874554139235,1.3351330266186827
-1.4282327798711134,0.07905538991924048,0.5312729550938091,-1.117581680693107,1.2284405605749513,-0.8178593315096198,-0.41348888316121124,1.1277685012296674,-0.14592386815847863,1.550460250228991
-0.9456986953483341,-0.3778242475909984,1.01108499926876,-1.0612198908599384,1.6294274582413546,-0.24930521939170586,-0.17034418442580118,1.5009934028503096,-0.0320545056609098,1.762639063558442
