window,stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,avg_lead_time_matched,precision,recall,f1_score,specificity,matched_depeg_days,first_match_days,avg_close_price_hit_days
expanding_30d,USDC,PC6,30,3,0,,0.0,0.0,,0.9840255591054313,[],[],0.9995894625066665
expanding_30d,USDC,PC7,26,3,0,,0.0,0.0,,0.9861554845580405,[],[],0.9995665394538461
expanding_30d,USDC,PC8,14,3,0,,0.0,0.0,,0.9925452609158679,[],[],0.9992087907928573
expanding_30d,USDC,PC9,32,3,0,,0.0,0.0,,0.9829605963791267,[],[],0.999446998953125
expanding_30d,USDC,PC10,17,3,0,,0.0,0.0,,0.9909429941395844,[],[],1.0004129562882351
expanding_30d,USDT,PC2,18,2,1,1.0,0.05555555555555555,0.5,0.09999999999999999,0.9909478168264111,[Timestamp('2023-03-11 00:00:00')],[Timestamp('2023-03-10 00:00:00')],1.0018318389055556
expanding_30d,USDT,PC8,32,2,1,3.0,0.03125,0.5,0.058823529411764705,0.9834842834310069,[Timestamp('2021-04-17 00:00:00')],[Timestamp('2021-04-14 00:00:00')],1.00091165069375
expanding_30d,USDT,PC1,25,2,0,,0.0,0.0,,0.9867021276595744,[],[],1.001402378404
expanding_30d,USDT,PC3,30,2,0,,0.0,0.0,,0.9840255591054313,[],[],0.9987720301766667
expanding_30d,USDT,PC4,28,2,0,,0.0,0.0,,0.9850984566258648,[],[],1.0004584582321427
expanding_30d,USDT,PC5,19,2,0,,0.0,0.0,,0.989888238424694,[],[],1.0000079219578948
expanding_30d,USDT,PC6,16,2,0,,0.0,0.0,,0.9914802981895634,[],[],1.000151351575
expanding_30d,USDT,PC7,32,2,0,,0.0,0.0,,0.982969664715274,[],[],1.00066815294375
expanding_30d,USDT,PC9,29,2,0,,0.0,0.0,,0.9845662586482171,[],[],1.0006436765965516
expanding_30d,USDT,PC10,19,2,0,,0.0,0.0,,0.9898828541001065,[],[],1.0001879961105264
expanding_30d,UST,PC7,43,25,9,3.25,0.20930232558139536,0.36,0.2647058823529412,0.9237668161434978,"[Timestamp('2021-04-17 00:00:00'), Timestamp('2021-05-20 00:00:00'), Timestamp('2021-11-13 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-04-12 00:00:00'), Timestamp('2021-05-19 00:00:00'), Timestamp('2021-11-10 00:00:00'), Timestamp('2022-05-05 00:00:00')]",0.9942248163906975
expanding_30d,UST,PC3,26,25,6,3.5,0.23076923076923078,0.3333333333333333,0.27272727272727276,0.955456570155902,"[Timestamp('2021-01-28 00:00:00'), Timestamp('2021-02-07 00:00:00'), Timestamp('2021-04-17 00:00:00'), Timestamp('2021-11-13 00:00:00')]","[Timestamp('2021-01-25 00:00:00'), Timestamp('2021-02-06 00:00:00'), Timestamp('2021-04-10 00:00:00'), Timestamp('2021-11-10 00:00:00')]",0.9963337848115384
expanding_30d,UST,PC4,21,25,5,3.5,0.23809523809523808,0.21739130434782608,0.22727272727272724,0.9642857142857143,"[Timestamp('2021-01-28 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-01-23 00:00:00'), Timestamp('2022-05-07 00:00:00')]",0.9893466256571428
expanding_30d,UST,PC5,21,25,5,3.5,0.23809523809523808,0.25,0.24390243902439024,0.9642857142857143,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-10 00:00:00'), Timestamp('2022-05-05 00:00:00')]",0.9999430023095237
expanding_30d,UST,PC10,16,25,4,4.333333333333333,0.25,0.15384615384615385,0.1904761904761905,0.9732142857142857,"[Timestamp('2021-11-13 00:00:00'), Timestamp('2021-11-30 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-11-09 00:00:00'), Timestamp('2021-11-23 00:00:00'), Timestamp('2022-05-07 00:00:00')]",0.98667828156875
expanding_30d,UST,PC1,18,25,4,2.5,0.2222222222222222,0.19047619047619047,0.20512820512820512,0.9688195991091314,"[Timestamp('2021-01-28 00:00:00'), Timestamp('2021-11-13 00:00:00')]","[Timestamp('2021-01-26 00:00:00'), Timestamp('2021-11-10 00:00:00')]",0.9905702224499999
expanding_30d,UST,PC8,18,25,4,4.0,0.2222222222222222,0.14285714285714285,0.17391304347826086,0.9686800894854586,[Timestamp('2022-05-09 00:00:00')],[Timestamp('2022-05-05 00:00:00')],1.0007444563444445
expanding_30d,UST,PC2,19,25,4,2.5,0.21052631578947367,0.23529411764705882,0.2222222222222222,0.967032967032967,"[Timestamp('2021-01-28 00:00:00'), Timestamp('2021-11-13 00:00:00')]","[Timestamp('2021-01-25 00:00:00'), Timestamp('2021-11-11 00:00:00')]",0.9843462672578948
expanding_30d,UST,PC6,24,25,4,3.0,0.16666666666666666,0.2,0.1818181818181818,0.9553571428571429,"[Timestamp('2021-02-10 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-02-08 00:00:00'), Timestamp('2022-05-05 00:00:00')]",1.0023545354875
expanding_30d,UST,PC9,29,25,4,3.0,0.13793103448275862,0.19047619047619047,0.16,0.9441964285714286,"[Timestamp('2021-01-28 00:00:00'), Timestamp('2022-05-09 00:00:00')]","[Timestamp('2021-01-26 00:00:00'), Timestamp('2022-05-05 00:00:00')]",1.0004546281931035
