date,open,close,high,low,volume,marketCap,circulatingSupply,timeOpen,timeClose,timeHigh,timeLow,name,timestamp,price_dev,abs_price_dev,rel_price_dev,intraday_range,downside_dev,ret_1d,vol_7d,supply_chg,mcap_chg,mcap_velocity,supply_panic,volume_mcap_ratio,timing_asymmetry_hours,recovery_time_hours,collapse_time_hours,dev_acceleration,peg_stable_days,peg_breakdown,price_shock,volume_explosion
2021-12-28 00:00:00+00:00,0.9996331828,1.0008407758,1.0019967568,0.9981653275,4171719361.17,42130122777.19,42094730545.27,2021-12-28 00:00:00+00:00,2021-12-28 23:59:59.999000+00:00,2021-12-28 07:14:05+00:00,2021-12-28 16:04:05+00:00,2781,2021-12-28 23:59:59.999000+00:00,0.000840775799999971,0.000840775799999971,0.000840775799999971,0.0038282106331424845,0.001834672500000023,,,,,,False,0.09901987191522364,-8.833333333333334,,8.833333333333334,,1,0.0,0,0
2021-12-29 00:00:00+00:00,1.0007580579,0.9994633764,1.0019352361,0.9982291336,3506506628.57,42116774929.12,42139387919.92,2021-12-29 00:00:00+00:00,2021-12-29 23:59:59.999000+00:00,2021-12-29 11:36:06+00:00,2021-12-29 22:18:06+00:00,2781,2021-12-29 23:59:59.999000+00:00,-0.0005366235999999525,0.0005366235999999525,-0.0005366235999999525,0.0037080923498659475,0.0017708664000000152,-0.0013762422887885206,,0.001060878026098111,-0.00031682433351998274,,False,0.08325676964751551,-10.7,,10.7,,2,1.0,0,0
2021-12-30 00:00:00+00:00,0.9996219023,1.000345731,1.0018072631,0.9981037959,3137476099.19,42315722030.27,42301097228.84,2021-12-30 00:00:00+00:00,2021-12-30 23:59:59.999000+00:00,2021-12-30 05:32:06+00:00,2021-12-30 14:23:06+00:00,2781,2021-12-30 23:59:59.999000+00:00,0.00034573099999990475,0.00034573099999990475,0.00034573099999990475,0.003702187239103559,0.0018962041000000207,0.0008828283465254216,,0.0038374859461012267,0.004723702170567723,,False,0.07414445384969794,-8.850000000000001,,8.850000000000001,,3,1.0,0,0
2021-12-31 00:00:00+00:00,1.0003827432,1.000038906,1.0009325225,0.9991836431,3283686714.54,42167723552.94,42166083039.43,2021-12-31 00:00:00+00:00,2021-12-31 23:59:59.999000+00:00,2021-12-31 10:56:00+00:00,2021-12-31 20:52:00+00:00,2781,2021-12-31 23:59:59.999000+00:00,3.890599999989419e-05,3.890599999989419e-05,3.890599999989419e-05,0.001748811360745324,0.000816356900000037,-0.00030671895774803115,,-0.0031917420174610855,-0.0034974820286447494,0.0008924914828483121,False,0.07787204140668048,-9.933333333333334,,9.933333333333334,-0.00026728993333335893,4,1.0,0,0
2022-01-01 00:00:00+00:00,1.0000832962,1.0000852892,1.0008610395,0.9992174418,2655459065.21,42454938451.84,42451317814.68,2022-01-01 00:00:00+00:00,2022-01-01 23:59:59.999000+00:00,2022-01-01 08:47:00+00:00,2022-01-01 21:53:00+00:00,2781,2022-01-01 23:59:59.999000+00:00,8.528920000006046e-05,8.528920000006046e-05,8.528920000006046e-05,0.00164345753082185,0.0007825581999999498,4.6381395485628474e-05,,0.00676455470106796,0.006811249806724984,0.008029188447812086,False,0.06254770733497347,-13.1,,13.1,-0.000150444799999964,5,1.0,0,0
2022-01-02 00:00:00+00:00,1.0000807098,0.9997648784,1.0009663066,0.9992645936,2491554184.76,42562534941.24,42572544666.16,2022-01-02 00:00:00+00:00,2022-01-02 23:59:59.999000+00:00,2022-01-02 18:18:00+00:00,2022-01-02 03:02:00+00:00,2781,2022-01-02 23:59:59.999000+00:00,-0.00023512160000005444,0.00023512160000005444,-0.00023512160000005444,0.0017021132035799115,0.0007354064000000271,-0.0003203834747498302,0.00081264211986583,0.002855667567476239,0.0025343692235488824,0.0058326527145973195,False,0.058538669940588185,15.266666666666667,,,-3.6869799999950104e-05,6,1.0,0,0
2022-01-03 00:00:00+00:00,0.9997761886,0.9997078569,1.0009138057,0.9993956616,2979943098.18,42567699046.2,42580138539.16,2022-01-03 00:00:00+00:00,2022-01-03 23:59:59.999000+00:00,2022-01-03 16:41:00+00:00,2022-01-03 09:21:00+00:00,2781,2022-01-03 23:59:59.999000+00:00,-0.00029214310000003074,0.00029214310000003074,-0.00029214310000003074,0.0015185877449313781,0.0006043383999999596,-5.7034910139308614e-05,0.0007296982223516185,0.00017837489066141465,0.00012132982603429987,0.009485347074945638,False,0.07000479624106011,7.333333333333333,,,8.441236666671219e-05,7,1.0,0,0
2022-01-04 00:00:00+00:00,0.9998180717,1.0005848031,1.0013560343,0.999134359,3450318436.07,42619659433.82,42594749893.86,2022-01-04 00:00:00+00:00,2022-01-04 23:59:59.999000+00:00,2022-01-04 14:04:00+00:00,2022-01-04 04:08:00+00:00,2781,2022-01-04 23:59:59.999000+00:00,0.0005848030999999754,0.0005848030999999754,0.0005848030999999754,0.0022203768167544527,0.0008656409999999726,0.0008772024686485302,0.0007784412839535707,0.00034314953406178184,0.0012206529548051126,0.0038799015612014376,False,0.08095603019605706,9.933333333333334,,,0.00016650463333330498,8,1.0,0,0
2022-01-05 00:00:00+00:00,1.0006042604,0.9997572122,1.0009020504,0.999287359,4834405737.07,42744624582.67,42755004977.02,2022-01-05 00:00:00+00:00,2022-01-05 23:59:59.999000+00:00,2022-01-05 09:17:00+00:00,2022-01-05 21:44:00+00:00,2781,2022-01-05 23:59:59.999000+00:00,-0.00024278779999997724,0.00024278779999997724,-0.00024278779999997724,0.0016150835225751858,0.0007126410000000138,-0.0008271072051423412,0.0006354337646479874,0.00376232008778854,0.00293210106580144,0.004278167211642536,False,0.11309973556370918,-12.45,,12.45,2.555399999974265e-06,9,1.0,0,0
2022-01-06 00:00:00+00:00,0.9997518468,0.9995601857,1.0011721445,0.9992706848,4569272674.4,43076362784.11,43095316720.29,2022-01-06 00:00:00+00:00,2022-01-06 23:59:59.999000+00:00,2022-01-06 13:52:00+00:00,2022-01-06 04:07:00+00:00,2781,2022-01-06 23:59:59.999000+00:00,-0.00043981429999995214,0.00043981429999995214,-0.00043981429999995214,0.001902296357140594,0.0007293151999999692,-0.00019707434724713924,0.0005174589160502724,0.00795957674318859,0.0077609337941055845,0.011949523918545202,False,0.10607378105018449,9.75,,,4.922373333330713e-05,10,1.0,0,0
