name,open,high,low,close,volume,marketCap,circulatingSupply,price_dev,abs_price_dev,rel_price_dev,intraday_range_pct,volatility_7d,volume_zscore,volume_acceleration,turnover,range_expansion,supply_chg,mcap_chg,mcap_velocity,supply_panic,volume_mcap_ratio,dev_acceleration,peg_stable_days,peg_breakdown,price_shock,volume_explosion,is_crash,regime
2781,1.0005600436,1.0031106346,0.9991079225,1.0022390914,139518951.51,10056424372.0,10033957424.68,0.002239091399999893,0.002239091399999893,0.002239091399999893,0.003993769684645558,,,,0.01390467844390415,,,,,False,0.013873614154396785,,1,0.0,0,0,0,Normal
2781,1.002243932,1.0033474612,0.9992698637,1.0014233729,157592551.5,10079440005.7,10065113595.91,0.0014233728999999418,0.0014233728999999418,0.0014233728999999418,0.004071801807652735,,,,0.015657304808168123,,0.003105073094426869,0.002288649807190124,,False,0.01563505030149296,,2,1.0,0,0,0,Normal
2781,1.0010190187,1.0029501047,0.9997304957,1.0019844193,110621928.36,10117714194.28,10097676170.75,0.00198441930000004,0.00198441930000004,0.00198441930000004,0.0032132325992146856,,,,0.010955186766677982,,0.0032351919856357103,0.0037972534742363173,,False,0.010933490137776333,,3,1.0,0,0,0,Normal
2781,1.0017478691,1.0023266094,0.9989237129,1.0014399111,135703578.51,10137119504.07,10122543941.1,0.0014399111000000797,0.0014399111000000797,0.0014399111000000797,0.0033980036767879817,,,,0.013406074530238423,,0.002462722108482307,0.0019179539387432776,0.008024236953909636,False,0.013386798730696203,-0.0002663934333332711,4,1.0,0,0,0,Normal
2781,1.0016571888,1.0022042965,0.9984068241,1.0007569556,126635767.43,10133538279.89,10125873442.99,0.0007569555999999977,0.0007569555999999977,0.0007569555999999977,0.0037946000562376165,,,,0.012506157433526703,,0.000328919480060863,-0.00035327828369413616,0.005367190454966364,False,0.01249669798764254,-0.00022213909999998135,5,1.0,0,0,0,Normal
2781,1.0008985713,1.0025020289,0.9982286692,1.0009960124,105343504.02,10138860625.02,10128772241.79,0.0009960123999999126,0.0009960123999999126,0.0009960123999999126,0.00426910761587763,,,,0.010400421838430363,,0.00028627642013523413,0.0005252208047177298,0.0020900403326231665,False,0.010390073196197249,-0.00032946896666670905,6,1.0,0,0,0,Normal
2781,1.0009734334,1.0033930503,0.9985485288,1.002165426,139323546.94,10242171774.2,10220041031.84,0.002165425999999915,0.002165425999999915,0.002165425999999915,0.00483405371440136,,,,0.01363238626008886,1.2271588292394988,0.009010844342361324,0.010189621201129428,0.010363128311531078,False,0.013602930121808304,0.00024183829999994502,7,1.0,0,0,0,Normal
2781,1.0023713637,1.003332681,0.9990556096,1.0004499232,156135382.89,10310683119.31,10306046189.68,0.00044992319999992425,0.00044992319999992425,0.00044992319999992425,0.004275147911771172,0.0009690461274892096,,,0.015149881925267011,1.0743140404478542,0.008415343693049415,0.006689142363593081,0.017481045073026946,False,0.015143068706823831,-0.00010234413333335783,8,1.0,0,0,0,Normal
2781,1.0005457726,1.0049407816,0.9976042713,0.9992270206,257590385.3,10341148015.98,10349147693.74,-0.0007729793999999846,0.0007729793999999846,-0.0007729793999999846,0.007342185658264857,0.0010193154678735264,,,0.024890009585602058,1.6511839838708393,0.004182157082039728,0.0029546923630059396,0.019951688699695547,False,0.024909263932974365,-7.434433333330936e-05,9,1.0,0,0,0,Normal
2781,0.9993035718,1.0043211958,0.9971965832,1.0001158308,256685806.62,10389554234.63,10388350943.27,0.00011583079999999413,0.00011583079999999413,0.00011583079999999413,0.007123787446001069,0.001072542586427715,,,0.02470900415491754,1.4232575351897374,0.0037880655190296597,0.004680932772183288,0.014389766514290914,False,0.024706142421820787,-0.0006831983999999736,10,1.0,0,0,0,Normal
2781,0.9999813729,1.0066374073,0.9956184847,1.0004331922,357359658.33,10429058743.57,10424542912.9,0.0004331922000000432,0.0004331922000000432,0.0004331922000000432,0.011014151355543084,0.0010847251279184835,,,0.03428060695954162,1.8075867692334062,0.003483899401131252,0.003802329536749971,0.011480871140177484,False,0.03426576329818152,-5.5769999999603454e-06,11,1.0,0,0,0,Normal
2781,1.0004489879,1.0034846811,0.9973247536,0.9999079507,251212471.23,10437514216.81,10438475071.41,-9.204929999995226e-05,9.204929999995226e-05,-9.204929999995226e-05,0.0061604945692128,0.00107329299240242,,,0.0240660124693929,0.95789623699682,0.0013364766806955863,0.0008107609179219821,0.009318714003618167,False,0.02406822793356421,-0.00022697670000001077,12,1.0,0,0,0,Normal
2781,0.9999559829,1.0077458895,0.9951015226,0.9968495452,195938018.14,10409928845.71,10442828504.53,-0.00315045479999998,0.00315045479999998,-0.00315045479999998,0.012684328302986958,0.0015198961876153614,,,0.018762925969243286,1.6616770333592827,0.0004170564273247024,-0.0026429062061130715,0.0019610669158536265,False,0.018822224536217395,0.0010115413333333285,0,-12.0,0,0,0,Normal
2781,0.9968705852,1.0047131205,0.9954679671,0.9970154101,269082498.83,10462290685.64,10493609807.19,-0.0029845898999999454,0.0029845898999999454,-0.0029845898999999454,0.009272828991753197,0.0013659026997476502,,,0.02564251042054473,1.1215918981059314,0.004862791976136593,0.005029990185915434,0.003186475681756784,False,0.025719271898966518,0.0008504658999999674,0,0.0,0,0,0,Normal
2781,0.9970299819,1.0022325531,0.9961444349,0.9982700575,213726288.88,10520584263.27,10538815809.15,-0.0017299425000000257,0.0017299425000000257,-0.0017299425000000257,0.006098668545910977,0.0014693004223328351,,,0.020279915006621407,0.7151293500739875,0.004307955297615962,0.005571779582650205,0.007958796005874014,False,0.020315058891374704,0.0005459644000000244,0,0.0,0,0,0,Normal
