stablecoin,PC,num_hit_days,num_real_depeg_days,num_matched_days,first_hit_date,avg_close_price_hit_days,precision,recall,f1_score,specificity
DAI,PC1,23,5,2,2021-03-17,0.9978440998130437,0.08695652173913043,0.0,0.0,0.9886178861788618
DAI,PC10,8,5,1,2021-09-18,1.00087203505,0.125,0.2,0.15384615384615385,0.9962039045553145
DAI,PC8,15,5,1,2021-03-18,1.00015685526,0.06666666666666667,0.2,0.1,0.9924078091106291
DAI,PC9,15,5,1,2021-06-17,1.0004231666733334,0.06666666666666667,0.2,0.1,0.9924078091106291
DAI,PC5,17,5,1,2021-04-30,0.9999003250411763,0.058823529411764705,0.2,0.0909090909090909,0.9913232104121475
DAI,PC7,18,5,1,2021-11-16,1.0000872596833332,0.05555555555555555,0.2,0.08695652173913045,0.9907809110629068
DAI,PC3,19,5,1,2021-05-19,0.9999901278157894,0.05263157894736842,0.2,0.08333333333333333,0.9902386117136659
DAI,PC2,14,5,0,2021-04-18,0.9997379059571427,0.0,0.0,,0.9924119241192412
DAI,PC4,19,5,0,2021-02-22,0.9999319296473683,0.0,0.0,,0.9897018970189702
DAI,PC6,16,5,0,2021-03-18,1.0003872139,0.0,0.0,,0.9913279132791328
PAX,PC1,86,23,18,2021-04-17,0.9979580558616278,0.20930232558139536,0.21739130434782608,0.2132701421800948,0.9625756741882223
PAX,PC3,94,23,11,2021-03-14,0.9994206680127657,0.11702127659574468,0.391304347826087,0.18016378525932664,0.954370533260033
PAX,PC2,81,23,7,2021-04-18,0.9995344067876542,0.08641975308641975,0.21739130434782608,0.12367491166077738,0.9594075699396599
PAX,PC6,97,23,7,2021-03-15,0.9993703609752578,0.07216494845360824,0.17391304347826086,0.10200364298724952,0.9506308283049918
PAX,PC7,97,23,7,2021-03-18,0.9995436067773196,0.07216494845360824,0.21739130434782608,0.10835913312693497,0.9506037321624589
PAX,PC10,98,23,6,2021-02-26,0.9996257365704079,0.061224489795918366,0.2608695652173913,0.09917355371900825,0.9495337356006582
PAX,PC5,83,23,4,2021-03-19,0.999525704307229,0.04819277108433735,0.21739130434782608,0.07889546351084813,0.9566648381788261
PAX,PC9,89,23,4,2021-02-27,1.0000031935269662,0.0449438202247191,0.08695652173913043,0.05925925925925926,0.9534246575342465
PAX,PC4,90,23,4,2021-04-18,0.9995213886199997,0.044444444444444446,0.2608695652173913,0.0759493670886076,0.9528250137136588
PAX,PC8,85,23,2,2021-03-06,0.9994872847400003,0.023529411764705882,0.13043478260869565,0.03986710963455149,0.9545205479452055
USDC,PC1,14,3,4,2021-03-19,0.9985274186714286,0.2857142857142857,0.6666666666666666,0.4,0.9945828819068255
USDC,PC3,18,3,1,2021-04-18,0.999677490588889,0.05555555555555555,0.0,0.0,0.9907958852192745
USDC,PC2,21,3,1,2021-03-17,1.000390054557143,0.047619047619047616,0.0,0.0,0.9891716296697347
